post_id,id,name,comment,LogisticRegression_score,MultinomialNB_score,DeepLearning_LSTM_score,Sum,emotion_sum,emotion,DeepLearning_emotion
235288368941_10155771593538942,1.02e+16,Liang DL,"希望台北墨爾本能增班,這樣就能不同點進出了",0.169101331597,0.740465944146,0.869718,1.77928552936,Positive,Positive,1
235288368941_10155740652118942,1050000000000000.0,Luo Jason,所以華航會飛巴黎喔,0.169101331597,0.683262818355,0.655457,1.50782116976,Positive,Positive,1
235288368941_10155736556383942,1.02e+16,Lex Antony Huang,有人知到A330改艙的消息嗎？2015年報有提,0.522990973745,0.0403058669456,0.971607,1.53490339329,Positive,Positive,1
235288368941_10155736556383942,1100000000000000.0,黃俊芳,我22號飛北京的航班能改期嗎,0.114203106629,-0.542505211431,0.736356,0.308053438335,Positive,Positive,1
235288368941_10155736556383942,235000000000.0,華航粉絲團,此非官方粉絲團喔,0.169101331597,0.544516925247,0.590168,1.30378601769,Positive,Positive,1
235288368941_10155724121253942,1250000000000000.0,楊廷淯,我第四名,0.169101331597,0.544516925247,0.501691,1.21530930022,Positive,Positive,1
235288368941_10155724121253942,1510000000000000.0,Warunee FC Wa,我的支持放在心中,0.252388269741,0.296178962011,-0.297193944454,0.251373287297,Positive,Positive,1
235288368941_10155723620603942,1.02e+16,CK Daniel Wu,明明都是地勤，哪來空服員？？？難道航空公司都只有機師和空服員？？？,0.126498036588,0.405695163932,0.81042,1.34261317723,Positive,Positive,1
235288368941_10155723616513942,1550000000000000.0,金正豪,記者！,0.169101331597,0.544516925247,0.501691,1.21530930022,Positive,Positive,1
235288368941_10155723616513942,1.02e+16,Chris Shao,747 很不好坐，777 很好坐，希望 A350 會比 777 更好,-0.047970472333,0.907436107918,0.8694,1.72886530237,Positive,Positive,-1
235288368941_10155626725763942,1.02e+16,Mimi Lin,你好， 我是旅行社的領隊， 華航新改的團體更換位子系統，操作的非常不方便，必須手動建立新的位置， 不像以往用按鍵選擇即可，非常的清新明了，  可否在再改進謝謝,0.681238012894,0.908098511878,0.999978,2.58931411343,Positive,Positive,1
235288368941_10155626725763942,235000000000.0,華航粉絲團,謝謝，會反應給我們資訊部門參考,0.576241559048,0.476936670503,0.984116,2.03729400895,Positive,Positive,1
235288368941_10155618547538942,1770000000000000.0,陳柏勝,共掛航班,0.114203106629,0.59495129642,0.859271,1.56842521413,Positive,Positive,1
235288368941_10155600610548942,1190000000000000.0,Yuan  Tso,我們是買46、47兩排親子臥艙，登機時已於座位聞到濃濃地嘔吐味，便立即向負責該區組員反應，組員回答:喔！因為這zone是親子臥艙區，大部分都是小孩，所以吐味會比較濃?(請問這是什麼回答？是我早該知道自己親子臥艙是嘔吐區的意思嗎？）於是他拿了空氣芳香劑來噴，吐味加香味交雜混合成一種古怪且噁心的味道！關門後，起飛前，孩子要繫上安全帶，結果在安全帶扣環上摸到了嘔吐物?因為字數關係無法詳述。我要貴公司向我說明及解釋：不管你們接飛再趕，清勤怎可做得如此草率？組員上機後的清潔檢查怎可如此馬虎？嘔吐物有多少病毒細菌，讓孩子徒手觸碰的責任，及十小時的飛行與嘔吐物共眠?再者，我已在未關門前即向組員反應，為何不交接地勤及時處理？導致關門後雙手一攤告訴我無能為力，在密閉空間有限資源下什麼也不能做?你們缺員，行李遺失?這些都是貴公司的問題，沒理由要旅客承擔責任，一個全滿的航班，安全帶是一個關係飛安的用具，請問，是可以因為有嘔吐物不用繫嗎？不行嘛，所以，我們只能硬著頭皮硬把嘔吐物綁在自己身上，為了你們不被民航局教官為難我真的找不到任何理由合理化這件事，請貴公?訴我你們合理的解釋！,-0.978880685455,-1.0,-0.32295653224,-2.3018372177,Negative,Negative,-1
235288368941_10155599241483942,1.02e+16,Chin Yung Teng,"好事一樁...員工票ID00可搭日航嗎?若是不行,繼續加油...",0.142479199331,-0.236152467717,0.787399,0.69372620242,Positive,Positive,1
235288368941_10155599241483942,1550000000000000.0,金正豪,這就可以買華航票享受日航服務了,0.363060418614,0.576162572253,-0.139986932278,0.799236058589,Positive,Positive,1
235288368941_10155473634813942,690000000000000.0,Lego Lee,真的超有歐洲味∼下午去人潮就擠爆了∼,0.202388408676,0.483502098235,0.924179,1.61006904762,Positive,Positive,1
235288368941_10155473634813942,1410000000000000.0,姚韋伶,陳俊豪,0.169101331597,0.544516925247,0.699643,1.41326133231,Positive,Positive,1
235288368941_10155473634813942,1320000000000000.0,Jill Hsieh,呂孟翰 黃珮瑜,0.169101331597,0.544516925247,0.597491,1.31110922316,Positive,Positive,1
235288368941_10155448081998942,982000000000000.0,賴香岑,嗚，我也很想要去泡一下溫泉，只不過，我真的沒辦法去啦！,-0.0938915430853,0.0395647229167,0.652354,0.59802718183,Positive,Positive,-1
